form_code,form_title,group,court_routing,package_key,relationship_type,county,confidence_score,mapping_source,status,notes
10-29 off hours,Child Protective-Order on Application for Access to Child(ren) and/or Home before Petition Filed (plus off-hours protocol),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-29a,Child Protective - Application for Order for Access to Child(ren) and/or Home-Before Petition Filed,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-29b,Child Protective - Report After Court Order - Order for Pre-petition Access to Child(ren) and/or Home,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-2a,Order for Services,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-2b,Order Terminating Remand,Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
10-3,Order Directing Medical Examination,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-4,Application for Return of Child Temporarily Removed from Home,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-5,Order on Application for Return of Child Temporarily Removed from Home,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-6,Petition (Child Neglect),Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
10-7,Petition (Child Abuse),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-7a,Summons - Child Abuse,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-7b,Warrant (w/ aliases) - Child Abuse/Child Neglect,Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
10-7c,Summons - Child Neglect,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-7d,Order (Notice to Non-Respondent Parents),Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
10-7e,Notice to Relatives and Suitable Persons of Pending Child Protective Proceeding,UNGROUPED,UNSUPPORTED,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-8,Order Of Adjournment In Contemplation Of Dismissal,Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
10-8a,Application to Restore Case Adjourned in Contemplation of Dismissal to Calendar,Family Court Family Offense,FAMILY_COURT,PKG_ORDER_OF_PROTECTION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
10-9,Determination Upon Fact-finding Hearing,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-A,Supplemental Affidavit (Agency),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-B,Supplemental Affidavit (Private Placement),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-C,Affirmation Of No Appeal,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
10-C-1,Destitute Child Petition,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
10-C-3,Destitute Child - Order for Services,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
10-C-4,Destitute Child - Order of Fact-finding and Disposition,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
10-c-2,Destitute Child - Preliminary Order,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
11,Order to Show Cause (Removal of child from Adoptive Home),Supreme Court Matrimonial,FAMILY_COURT,PKG_MOTION,REQUIRED,,0.80,ALIAS_RESOLUTION,MAPPED,Catalog required_forms: ORDER_TO_SHOW_CAUSE
12,Order Removing Child from Adoptive Home,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
13-A,Order Of Adoption (Agency),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
13-B,Order Of Adoption (Private placement),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
14,Certificate Of Adoption,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
14-A,Order Of Incorporation of Post-adoption Contact Agreement,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
15-A,Application for Certified Copy of Adoption Order (before sealing of records),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
15-B,Order for Certified Copy of Adoption Order (Before Sealing of Records),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
16-A,Application for Certified Copy of Adoption Order (after sealing of records),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
16-B,Order For Certified Copy of Adoption Order (after sealing of records),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
17,Petition For Enforcement of Post-adoption Contact Agreement (after Adoption Finalization),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
18,Order Determining Petition for Enforcement of Post-adoption Contact Agreement (after Adoption Finalization),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
2-A,Agreement of Adoption and Consent (Agency),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
2-B,Agreement of Adoption (Private Placement),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
2-C,Consent of Child Over 14 (Agency),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
2-D,Consent of Child Over 14 (Private Placement),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
2-E,Affirmation and Consent of Person Having Lawful Custody (Other than Birth or Legal Parent - Private Placement),Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
2-F,Judicial Consent (Birth or Legal Parent Private Placement),Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
2-Fa,Judicial Consent of Birth or Legal Parent to Adoption by Stepparent,UNGROUPED,UNSUPPORTED,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
2-G,Extra-Judicial Consent (Birth or Legal Parent - Private Placement),UNGROUPED,UNSUPPORTED,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
2-Ga,Extra-Judicial Consent (Birth or Legal Parent - Private Placement Stepparent),UNGROUPED,UNSUPPORTED,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
21-A,Petition for Temporary Guardianship,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
21-B,Order (Temporary Guardianship of the Person),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
21-C,Notice (Temporary Guardianship of the Person),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
21-D,Notice (Denial or Withdrawal of Application) (Removal of Child),Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
21-E,Affirmation (Change of circumstances since certification as qualified adoptive parent),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
22,Petition (Certification as a Qualified Adoptive Parent),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
23,Affirmation and Report (Disinterested Person Certification Proceeding) (Private Placement),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
24,Order (Certification as a Qualified Adoptive Parent),Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
25,Order (Conditional Certification as a Qualified Adoptive Parent),Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
26,Petition for Extension of Expired Certification,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
26-A,Affirmation and Report (Disinterested Person - Extension of Expired Certification),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
27-A,Adoption-Petition for Access to Sealed Adoption Records,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
27-B,Adoption–Notice of Petition for Access to Sealed Adoption Records,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
27-C,Adoption–Affirmation of Service of Petition for Access to Sealed Adoption Records,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
27-E,Adoption–Order on Petition for Access to Sealed Adoption Records,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
28,Petition for Registration of Foreign Adoption Order,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
28-A,Order of Foreign Adoption and Name Change,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
29a,Petition for Adult Adoption,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
29b,Consent to Adult Adoption by Adoptee,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3,Order Directing Service of Notice,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
3-1,Order on Motion For Change of Venue,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-11,Order Directing Detention,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-11a,Order Directing Release of Respondent with Conditions,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-12,Order of Referral to the Probation Service (Post-Petition),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-13,Order of Dismissal After Adjustment,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-14,Order Directing Examination to Determine Capacity,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-15,Notice of Hearing,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-16,Order Extending Time for Examination to Determine Capacity,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-17,Examination Report to Determine Capacity,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-18,Order In Proceeding to Determine Capacity and Notice of Hearing,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-19,Order Regarding Incapacitated Person (After Probable Cause Hearing),Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-2,Order for Change of Venue,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-21,Order (Extension of Period of Commitment for Lack of Capacity),Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-22,Petition for Dismissal for Continuing Lack of Capacity,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-23,Order Dismissing Petition for Lack of Capacity,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-24,Petition for Modification of Order of Commitment,Modification,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-25,Order (Modifying Order of Commitment for Lack of Capacity),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-26,Petition to Determine Capacity After Prior Commitment,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-27,Order Determining Capacity Prior to Commitment,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-28,Order Upon Fact-Finding Hearing,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-29,Order of Disposition - Juvenile Delinquency,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-30,Order of Disposition (After Order of Removal with Finding),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-31,Order of Disposition (Designated Felony; No Restrictive Placement),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-32,Order of Disposition (Designated Felony - After Order of Removal with Finding - No Restrictive Placement),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-33,Order of Disposition (Designated Felony; Restrictive Placement),Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-34,Order of Disposition (Designated Felony-After Order of Removal with Finding – Restrictive Placement),Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-37,Notice of Disposition or Termination of Proceeding,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-38,Petition (Extension of Placement and Permanency Hearing),Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-39,Order - Extension of Placement and Permanency Hearing Order,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-4,Application - Pre-Petition Detention,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-40,Petition for Violation of Order of Probation or Conditional Discharge,Enforcement,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-41,Order - Violation of Order of Probation or Conditional Discharge,Enforcement,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-44,Order on Motion,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-45,"Order of Dismissal - D, E",UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-46,Order for HIV Related Testing,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-47,Notice of Placement,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-48,Close to Home - Order on Petition to Modify Placement,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-49,Close to Home - Order on Petition to Transfer Placement to NYS OCFS,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-5,Order Directing Release of Respondent from Detention,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-6,Order Directing Detention (Pre-Petition),Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-7,Juvenile Delinquency Petition,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
3-9,Order of Adjournment in Contemplation of Dismissal (JD),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
30,Petition For Access to Sealed Birth Certificate,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
358-a-1,Petition for Approval of an Instrument,Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
358-a-2,Order Directing or Dispensing with Service of Notice,Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
358-a-4,Temporary Order Approving Placement Instrument,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
358-a-5,Order of Disposition - Petition for Approval of an Instrument,Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
358-a-6,Petition for Pre-placement Approval of Standby Placement Instrument,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
